preset,phase,seeds,queries,recall_at_k,recall_seed_sd,precision_at_k,context_efficiency,context_efficiency_seed_sd,redundancy,pollution,pollution_c,pollution_m,pollution_m_seed_sd,mean_c,mean_m,max_m,max_m_seed_sd,mean_tension_depth,scissors_gap,n_promote,n_demote,n_merge,n_evict,n_archive,n_revive,n_tension,n_resolve
flat,drift,10,722,0.925207756232687,0.04909391456760375,0.746515397082658,0.2165316045380875,0.017949173390735915,0.7004862236628849,0.28738019511308815,nan,0.28738019511308815,0.020847449370544727,0.0,118.2925,177,18.661011047993444,0.0,0.0,0,0,0,0,0,0,0,0
flat,noise,10,840,0.986904761904762,0.01607330349271345,0.9107416879795397,0.21202046035805627,0.006704139346290392,0.7329923273657288,0.48971956257249644,nan,0.48971956257249644,0.026373533080272845,0.0,297.0825,480,21.22472352915083,0.0,0.0,0,0,0,0,0,0,0,0
flat,conflict,10,1569,0.9725940089228808,0.01559519778806706,0.9119037967842184,0.20618835292528037,0.005475675553547248,0.7466558573165789,0.4910686385394837,nan,0.4910686385394837,0.023931548556513166,0.0,549.08375,706,27.563260571516814,0.0,0.0,0,0,0,0,0,0,0,0
decay_only,all,10,4310,0.8849187935034802,0.016613373238714823,0.7163786626596544,0.7163786626596544,0.03207496849662809,0.0,0.34152965367734067,0.34152965367734067,nan,nan,73.48818181818181,0.0,0,0.0,1.29,-0.13443233539436486,0,0,74,0,2473,46,147,133
decay_only,stable,10,1179,0.7896522476675149,0.041079063167137136,0.9627714581178903,0.9627714581178903,0.045757897320991774,0.0,0.0,0.0,nan,nan,14.291666666666666,0.0,0,0.0,0.0,nan,0,0,0,0,1,0,0,0
decay_only,drift,10,722,0.943213296398892,0.040205857660397575,0.926530612244898,0.926530612244898,0.05462812287540054,0.0,0.08220315386262182,0.08220315386262182,nan,nan,21.5275,0.0,0,0.0,3.89,0.08546686456234814,0,0,50,0,16,9,83,63
decay_only,noise,10,840,0.9892857142857143,0.017014530998172805,0.7547683923705722,0.7547683923705722,0.07832131492709234,0.0,0.8004752784679308,0.8004752784679308,nan,nan,138.6975,0.0,0,0.0,0.595,-0.29934603198243515,0,0,10,0,22,13,8,24
decay_only,conflict,10,1569,0.8738049713193117,0.0330074792471603,0.5438318127727092,0.5438318127727092,0.039985593129905364,0.0,0.4974404193803139,0.4974404193803139,nan,nan,111.26125,0.0,0,0.0,1.305,-0.1225663413002739,0,0,14,0,2434,24,56,46
abl_no_twopool,all,10,4310,0.8401392111368909,0.016300406386644446,0.8313059444571953,0.8310764287353684,0.013658438914150101,0.00022951572182694502,0.0384590398232963,nan,0.0384590398232963,0.0073100896669151165,0.0,7.873181818181818,8,0.0,27.871363636363636,-0.5914527801029853,0,0,1257,6800,0,2487,3328,2710
abl_no_twopool,stable,10,1179,0.7896522476675149,0.041079063167137136,0.986228813559322,0.986228813559322,0.023892981676907836,0.0,0.0,nan,0.0,0.0,0.0,7.585,8,0.0,3.4383333333333335,nan,0,0,52,551,0,251,143,61
abl_no_twopool,drift,10,722,0.8116343490304709,0.04958026948106258,0.8161559888579387,0.8161559888579387,0.03908606451005178,0.0,0.21111607142857142,nan,0.21111607142857142,0.039745550791414376,0.0,7.9275,8,0.0,23.025,-0.596666087733893,0,0,284,869,0,533,527,348
abl_no_twopool,noise,10,840,0.9892857142857143,0.017014530998172805,0.9640371229698376,0.9640371229698376,0.025581628684003162,0.0,0.0003125,nan,0.0003125,0.0009882117688026187,0.0,8.0,8,0.0,18.9175,0.8213535878729987,0,0,237,2871,0,316,368,420
abl_no_twopool,conflict,10,1569,0.811344805608668,0.04560200828624032,0.6950354609929078,0.6944899072558647,0.03334845777306029,0.0005455537370431252,0.0,nan,0.0,0.0,0.0,7.99875,8,0.0,53.09625,nan,0,0,684,2509,0,1387,2290,1881
abl_no_shadow,all,10,4310,0.8923433874709977,0.014443313289068175,0.705817581207561,0.705817581207561,0.04085570265972954,0.0,0.34152965367734067,0.3492296954437532,0.054468173336097866,0.013319292154781484,67.49227272727273,6.002727272727273,8,0.0,1.2895454545454546,0.4429620806763838,256,9,73,141,2471,46,147,132
abl_no_shadow,stable,10,1179,0.7896522476675149,0.041079063167137136,0.9597938144329897,0.9597938144329897,0.047753090871789666,0.0,0.0,0.0,0.0,0.0,11.688333333333333,2.6033333333333335,8,1.636391694484477,0.0,nan,57,0,0,0,1,0,0,0
abl_no_shadow,drift,10,722,0.9265927977839336,0.042464227595811095,0.8967828418230563,0.8967828418230563,0.07116531937007692,0.0,0.08220315386262182,0.005608051402072299,0.2814642857142857,0.07030764788974854,15.495,6.0325,8,1.1005049346146119,3.89,-1.0713973505224819,35,3,50,3,16,9,83,63
abl_no_shadow,noise,10,840,0.9892857142857143,0.017014530998172805,0.7426273458445041,0.7426273458445041,0.08690627524107411,0.0,0.8004752784679308,0.855259372754121,0.0,0.0,131.495,7.2025,8,0.6324555320336759,0.595,0.8380777427869331,56,1,10,36,22,13,8,24
