t,recall_at_k,precision_at_k,pollution,n_c,n_m,n_a,displacement,tension_depth,scissors_gap,n_merge,n_evict
113,0.0,0.0,0.8073394495412844,1,108,144,0,0,0.22497468415251454,3,0
114,1.0,0.41666666666666663,0.8157894736842105,1,113,145,0,0,0.19519337459814212,14,0
115,0.0,0.0,0.8264462809917356,1,120,147,0,0,0.195840875493015,2,0
116,1.0,1.0,0.8396946564885496,1,130,149,0,0,0.19634561790219918,13,0
117,1.0,0.75,0.8478260869565217,1,137,149,0,0,0.18787381624867738,24,0
118,0.0,0.0,0.8551724137931035,1,144,150,0,0,0.18815164363374626,1,0
119,0.0,0.0,0.8627450980392157,1,152,152,0,0,0.18748270925304578,2,0
120,0.0,0.0,0.8695652173913043,1,160,154,0,0,0.18763817892612067,2,0
121,0.0,0.0,0.8727272727272727,1,164,155,0,0,0.18718470908807872,1,0
122,1.0,0.5,0.8764705882352941,1,169,156,0,0,0.1786833453147374,2,0
123,1.0,0.5,0.8813559322033898,1,176,156,0,0,0.17658263238100202,16,0
124,1.0,0.6666666666666666,0.8858695652173914,1,183,159,0,0,0.16945399797404204,13,0
125,1.0,0.5,0.8888888888888888,1,188,160,0,0,0.16304640296685924,4,0
126,0.0,0.0,0.890625,1,191,161,0,0,0.16299991675521763,1,0
127,1.0,1.0,0.895,1,199,162,0,0,0.16307415441853634,29,0
128,1.0,0.75,0.8980582524271845,1,205,163,0,0,0.1666681006290356,42,0
129,1.0,0.6666666666666666,0.9023255813953488,1,214,165,0,0,0.16541373205617915,27,0
130,1.0,0.6666666666666666,0.9045454545454545,1,219,167,0,0,0.16407765283625098,37,0
131,1.0,0.5416666666666666,0.9122807017543859,0,228,172,0,0,0.14884857418787245,50,0
132,1.0,1.0,0.9141630901287554,0,233,174,0,0,0.1489082448393284,21,0
133,1.0,0.5,0.9159663865546218,0,238,175,0,0,0.1492094421200787,27,0
134,1.0,0.5,0.9190283400809717,0,247,178,0,0,0.1481943451658726,30,0
135,0.0,0.0,0.9215686274509803,0,255,181,0,0,0.1481783283368604,3,0
136,1.0,1.0,0.9245283018867925,0,265,182,0,0,0.14849143894193872,7,0
137,0.0,0.0,0.9264705882352942,0,272,182,0,0,0.14855047834850676,0,0
138,0.0,0.0,0.9272727272727272,0,275,183,0,0,0.14842467126747116,1,0
139,1.0,0.75,0.9293286219081273,0,283,184,0,0,0.14999724227015165,40,0
140,0.0,0.0,0.9228070175438596,0,285,186,0,0,0.14830812993265896,2,0
141,0.0,0.0,0.9228070175438596,0,285,188,0,0,0.14840144397963984,2,0
142,1.0,0.5,0.9228070175438596,0,285,190,0,0,0.1427741937934982,15,0
143,0.0,0.0,0.9195804195804196,0,286,191,0,0,0.14278159927454437,1,0
144,1.0,0.75,0.9163763066202091,0,287,196,0,0,0.1366318450839793,25,0
145,0.0,0.0,0.9163763066202091,0,287,198,0,0,0.1363661549608991,2,0
146,1.0,1.0,0.9163763066202091,0,287,201,0,0,0.13616315015261993,25,0
147,1.0,0.8888888888888888,0.9163763066202091,0,287,205,0,0,0.1407434796810757,50,0
148,1.0,0.8888888888888888,0.9131944444444444,0,288,209,0,0,0.14636530223778055,40,0
149,0.0,0.0,0.9131944444444444,0,288,213,0,0,0.14717981010430037,4,0
150,1.0,1.0,0.9131944444444444,0,288,214,0,0,0.1503138110905584,5,0
151,1.0,1.0,0.9131944444444444,0,288,217,0,0,0.15055669874744648,4,0
152,1.0,0.75,0.9131944444444444,0,288,222,0,0,0.1579181984208936,55,0
153,1.0,1.0,0.9100346020761245,1,288,223,0,0,0.156270015800282,4,0
154,1.0,0.75,0.9131944444444444,0,288,227,0,0,0.15921745808964383,11,0
155,1.0,1.0,0.9100346020761245,0,289,230,0,0,0.15890379470645344,10,0
156,1.0,0.75,0.9100346020761245,0,289,232,0,0,0.15758392804945498,18,0
157,0.0,0.0,0.9100346020761245,0,289,236,0,0,0.15781507988103394,4,0
158,0.0,0.0,0.9100346020761245,0,289,239,0,0,0.15753946492332482,3,0
159,0.0,0.0,0.9100346020761245,0,289,241,0,0,0.1575555374327301,2,0
160,0.0,0.0,0.9100346020761245,0,289,245,0,0,0.1575685217484185,4,0
161,1.0,1.0,0.9100346020761245,0,289,249,0,0,0.1610086663958702,56,0
162,0.0,0.0,0.9100346020761245,0,289,253,0,0,0.15988896014221154,4,0
163,1.0,0.5833333333333334,0.9100346020761245,0,289,256,0,0,0.15241442427246377,34,0
164,0.0,0.0,0.9100346020761245,0,289,258,0,0,0.15242042157326074,2,0
165,1.0,1.0,0.9100346020761245,0,289,262,0,0,0.15290235672184094,14,0
166,1.0,0.75,0.9100346020761245,0,289,266,0,0,0.14958755430550486,11,0
167,1.0,1.0,0.9100346020761245,0,289,268,0,0,0.14850828744607747,41,0
168,1.0,0.8888888888888888,0.9100346020761245,0,289,271,0,0,0.1513952764802643,37,0
169,1.0,1.0,0.9100346020761245,0,289,275,0,0,0.1520052784442092,39,0
170,0.0,0.0,0.9100346020761245,0,289,275,0,0,0.1520052784442092,0,0
171,1.0,0.5,0.9100346020761245,0,289,279,0,0,0.15132431017481718,28,0
172,0.0,0.0,0.9100346020761245,0,289,282,0,0,0.15097462510928938,3,0
173,1.0,1.0,0.9100346020761245,0,289,285,0,0,0.1501968022879686,18,0
174,0.0,0.0,0.9100346020761245,0,289,291,0,0,0.14980514756379115,6,0
175,1.0,0.75,0.9100346020761245,0,289,295,0,0,0.1511520407892688,72,0
176,1.0,0.75,0.9100346020761245,0,289,298,0,0,0.14558047885020964,27,0
177,0.0,0.0,0.9100346020761245,0,289,302,0,0,0.1448311144853487,4,0
178,0.0,0.0,0.9100346020761245,0,289,304,0,0,0.14456520509507487,2,0
179,0.0,0.0,0.9100346020761245,0,289,307,0,0,0.14443193943935428,3,0
180,1.0,1.0,0.9100346020761245,0,289,310,0,0,0.14435223568712363,27,0
181,0.0,0.0,0.9100346020761245,0,289,314,0,0,0.14439041266398556,4,0
182,0.0,0.0,0.9100346020761245,0,289,316,0,0,0.1452089791789729,2,0
183,1.0,0.875,0.9100346020761245,0,289,321,0,0,0.14194403093613628,69,0
184,1.0,0.8888888888888888,0.9100346020761245,0,289,322,0,0,0.14282878371824148,75,0
185,1.0,0.75,0.9100346020761245,0,289,324,0,0,0.14335112979137488,26,0
186,1.0,1.0,0.9100346020761245,0,289,326,0,0,0.14337375036016742,26,0
187,0.0,0.0,0.9100346020761245,0,289,331,0,0,0.1419363298191504,5,0
188,0.0,0.0,0.9100346020761245,0,289,331,0,0,0.1419363298191504,0,0
189,1.0,0.8333333333333334,0.9100346020761245,0,289,335,0,0,0.14233827312036063,44,0
190,1.0,1.0,0.9100346020761245,0,289,336,0,0,0.1453160692490163,30,0
191,0.0,0.0,0.9100346020761245,0,289,337,0,0,0.14531606924902274,1,0
192,1.0,1.0,0.9100346020761245,0,289,339,0,0,0.14531606926311147,52,0
193,0.0,0.0,0.9100346020761245,0,289,339,0,0,0.14531606926311147,0,0
194,1.0,0.5,0.9100346020761245,0,289,344,0,0,0.1455748355648223,36,0
195,1.0,1.0,0.9100346020761245,0,289,345,0,0,0.14456390445535716,28,0
196,1.0,1.0,0.9100346020761245,0,289,346,0,0,0.14448747476652513,30,0
197,1.0,0.25,0.9100346020761245,0,289,349,0,0,0.14444960357686631,14,0
198,0.0,0.0,0.9100346020761245,0,289,350,0,0,0.14445023049017913,1,0
199,0.0,0.0,0.9100346020761245,0,289,354,0,0,0.14432530957236656,4,0
200,0.0,0.0,0.9100346020761245,0,289,356,0,0,0.14430834072364918,2,0
201,0.0,0.0,0.9100346020761245,0,289,360,0,0,0.1432082032854075,4,0
202,0.0,0.0,0.9100346020761245,0,289,364,0,0,0.1424105329099603,4,0
203,1.0,1.0,0.9100346020761245,0,289,369,0,0,0.14170128386184722,15,0
204,1.0,1.0,0.9100346020761245,0,289,372,0,0,0.14168119726498896,30,0
205,1.0,0.875,0.9100346020761245,0,289,375,0,0,0.14481798346409913,74,0
206,1.0,1.0,0.9100346020761245,0,289,379,0,0,0.14478974426695568,31,0
207,1.0,1.0,0.9100346020761245,0,289,383,0,0,0.14313241560085344,31,0
208,1.0,1.0,0.9100346020761245,0,289,385,0,0,0.14313241560085344,56,0
209,0.0,0.0,0.9100346020761245,0,289,388,0,0,0.14310315728318646,3,0
210,1.0,0.6666666666666666,0.9100346020761245,0,289,392,0,0,0.1431429199993106,23,0
211,1.0,1.0,0.9100346020761245,0,289,394,0,0,0.146429923110043,9,0
212,1.0,1.0,0.9100346020761245,0,289,397,0,0,0.15520437741935678,48,0
213,1.0,0.3333333333333333,0.9100346020761245,0,289,401,0,0,0.14993025181177555,16,0
214,0.0,0.0,0.9100346020761245,0,289,404,0,0,0.14737920414029648,3,0
215,1.0,0.5,0.9100346020761245,0,289,405,0,0,0.15069409043572424,29,0
216,1.0,1.0,0.9100346020761245,0,289,409,0,0,0.15043217105646312,32,0
217,1.0,1.0,0.9100346020761245,0,289,413,0,0,0.1496088534747665,60,0
218,0.0,0.0,0.9100346020761245,0,289,420,0,0,0.14718722575895193,7,0
219,1.0,1.0,0.9100346020761245,0,289,425,0,0,0.1465696660452369,33,0
